user_id,timestamp,modality,is_fraud,caller_id,callee_id,call_start,call_duration,cell_id,location,imei,source_modality,call_hour,call_day,latitude,longitude,domain,ip_dst,port,duration,bytes_sent,bytes_received,vpn_usage,hour,weekday,event_id,device_model,os_type,roaming_status,event_time,event_hour,event_day,user_sequence,call_type_sms_out,call_type_unknown,call_type_voice_in,call_type_voice_out,protocol_UDP,event_type_network drop,event_type_reboot,event_type_roaming event,event_type_sim switch,event_type_unknown,network_type_lte,network_type_unknown,network_type_wifi,event_count
360857559,2023-07-27 03:41:25,cdr,False,360857559.0,1424079757325.0,2023-07-27 03:41:25,1.461071530392642,CELL_128,"-50.3746,-157.2312",IMEI_446418,CDR,-1.1964570258937095,0.0032986163392219,-50.3746,-157.2312,unknown,,,,,,False,3,3,,unknown,unknown,,,,,2023-07-27 03:41:25 cdr False False False False False False True False False,True,False,False,False,False,False,False,False,False,True,False,True,False,1
447670028,2023-03-08 15:02:32,ipdr,False,unknown,unknown,,-0.5439686595826063,unknown,,,IPDR,0.0,0.0,,,onion.hidden,216.235.104.34,6667.0,0.25597497108227407,-0.6047667856779,1.5729470139332429,False,15,2,,unknown,unknown,,,,,2023-03-08 15:02:32 ipdr False False False False False False True False False,False,True,False,False,False,False,False,False,False,True,False,True,False,1
597881513,2023-05-13 12:25:54,edr,False,unknown,unknown,,-0.5439686595826063,unknown,"20.9995,82.3001",,EDR,0.0,0.0,,,unknown,,,,,,False,12,5,4a804a34-6ae8-4f14-a006-153d6247c9dc,OnePlus 10,ios 16,True,2023-05-13 12:25:54,0.0710733512956126,0.9913288047889406,2023-05-13 12:25:54 edr False False False False True False False False False,False,True,False,False,False,False,False,True,False,False,False,False,False,1
1493940374,2023-02-22 02:36:45,ipdr,True,unknown,unknown,,-0.5439686595826063,unknown,,,IPDR,0.0,0.0,,,vpnservice.net,98.119.184.92,80.0,-1.6296054564548563,-1.5526388836650693,-1.5853931761232205,True,2,2,,unknown,unknown,,,,,2023-02-22 02:36:45 ipdr True True False False False False True False False,False,True,False,False,True,False,False,False,False,True,False,True,False,1
1599697507,2023-04-30 01:49:50,ipdr,True,unknown,unknown,,-0.5439686595826063,unknown,,,IPDR,0.0,0.0,,,darkmsg.io,118.42.19.72,6667.0,-0.25827423642785236,0.09058340203469534,-0.17498015650436177,True,1,6,,unknown,unknown,,,,,2023-04-30 01:49:50 ipdr True False False False False False True False False,False,True,False,False,False,False,False,False,False,True,False,True,False,1
1768878924,2023-07-20 07:24:16,cdr,False,1768878924.0,8183791724164.0,2023-07-20 07:24:16,0.9256008565120118,CELL_132,"9.9326,28.6332",IMEI_473961,CDR,-0.6269867613084124,0.0032986163392219,9.9326,28.6332,unknown,,,,,,False,7,3,,unknown,unknown,,,,,2023-07-20 07:24:16 cdr False False False False False False True False False,False,False,False,False,False,False,False,False,False,True,False,True,False,1
2098938930,2023-07-02 00:35:55,edr,False,unknown,unknown,,-0.5439686595826063,unknown,"19.6645,-11.7997",,EDR,0.0,0.0,,,unknown,,,,,,False,0,6,2e6db0f9-1b38-4a1a-9360-3339a6f2efb2,iPhone 14,android 12,True,2023-07-02 00:35:55,-1.6554048178285812,1.4865969926331355,2023-07-02 00:35:55 edr False False False False False False False True False,False,True,False,False,False,False,False,False,False,False,True,False,False,1
3338740708,2023-05-08 19:11:50,ipdr,False,unknown,unknown,,-0.5439686595826063,unknown,,,IPDR,0.0,0.0,,,socialapp.io,121.83.103.136,8443.0,-0.42969063893122783,1.4323763719126363,1.574686777597257,True,19,0,,unknown,unknown,,,,,2023-05-08 19:11:50 ipdr False True False False False False True False False,False,True,False,False,True,False,False,False,False,True,False,True,False,1
3585703910,2023-01-31 06:01:27,edr,False,unknown,unknown,,-0.5439686595826063,unknown,"54.3662,32.0877",,EDR,0.0,0.0,,,unknown,,,,,,False,6,1,f32c8f94-deca-4e6e-87bd-d9f1a8324df4,iPhone 14,harmonyos,True,2023-01-31 06:01:27,-0.7921657332664842,-0.9897439465878392,2023-01-31 06:01:27 edr False False False False False True False False True,False,True,False,False,False,False,False,False,True,False,False,False,True,1
3980754374,2023-02-07 04:54:14,edr,False,unknown,unknown,,-0.5439686595826063,unknown,"64.0461,-21.2946",,EDR,0.0,0.0,,,unknown,,,,,,False,4,1,e06105e4-2c89-4b48-b547-807e381c23d5,Pixel 6,kaios,False,2023-02-07 04:54:14,-1.0799120947871832,-0.9897439465878392,2023-02-07 04:54:14 edr False False False True False False False False False,False,True,False,False,False,False,True,False,False,False,False,False,False,1
5645623710,2023-11-19 21:01:19,edr,False,unknown,unknown,,-0.5439686595826063,unknown,"22.3647,-78.3556",,EDR,0.0,0.0,,,unknown,,,,,,False,21,6,608a6c49-2d5e-4793-a06b-7be45d9d32c5,Pixel 6,ios 16,False,2023-11-19 21:01:19,1.3659319781387578,1.4865969926331355,2023-11-19 21:01:19 edr False False True False False False False False False,False,True,False,False,False,True,False,False,False,False,False,False,False,1
6597996976,2023-08-22 05:47:41,edr,False,unknown,unknown,,-0.5439686595826063,unknown,"37.7658,163.4068",,EDR,0.0,0.0,,,unknown,,,,,,False,5,1,ec1ac831-2813-40dd-87e2-d08a3c698bfd,OnePlus 10,ios 16,False,2023-08-22 05:47:41,-0.9360389140268336,-0.9897439465878392,2023-08-22 05:47:41 edr False False False False False False False False True,False,True,False,False,False,False,False,False,False,False,False,False,True,1
6614726430,2023-08-29 23:12:42,cdr,False,6614726430.0,7136978168768.0,2023-08-29 23:12:42,1.6534443280460536,CELL_114,"5.3262,-135.2025",IMEI_666727,CDR,1.650894297032777,-0.9962820925158786,5.3262,-135.2025,unknown,,,,,,False,23,1,,unknown,unknown,,,,,2023-08-29 23:12:42 cdr False False False False False False True False False,False,False,False,True,False,False,False,False,False,True,False,True,False,1
7788153509,2023-09-26 14:36:26,edr,False,unknown,unknown,,-0.5439686595826063,unknown,"55.6145,82.5380",,EDR,0.0,0.0,,,unknown,,,,,,False,14,1,6cb9f9f1-7769-4f0c-929e-989a836e4a07,Pixel 6,android 12,True,2023-09-26 14:36:26,0.3588197128163115,-0.9897439465878392,2023-09-26 14:36:26 edr False False False False True False False True False,False,True,False,False,False,False,False,True,False,False,True,False,False,1
9001566987,2023-09-11 17:08:50,cdr,False,9001566987.0,7817076835654.0,2023-09-11 17:08:50,-0.3753945585461117,CELL_171,"31.3273,-0.7386",IMEI_796738,CDR,0.796688900154831,-1.4960724469434288,31.3273,-0.7386,unknown,,,,,,False,17,0,,unknown,unknown,,,,,2023-09-11 17:08:50 cdr False False False False False False True False False,False,False,True,False,False,False,False,False,False,True,False,True,False,1
9161560178,2023-07-11 12:16:24,cdr,False,9161560178.0,8190917908767.0,2023-07-11 12:16:24,2.2305627210062884,CELL_173,"-60.3112,40.1767",IMEI_665858,CDR,0.0848510694232093,-0.9962820925158786,-60.3112,40.1767,unknown,,,,,,False,12,1,,unknown,unknown,,,,,2023-07-11 12:16:24 cdr False False False False False False True False False,False,False,False,True,False,False,False,False,False,True,False,True,False,1
9633616617,2023-03-27 03:11:48,ipdr,False,unknown,unknown,,-0.5439686595826063,unknown,,,IPDR,0.0,0.0,,,news.org,52.141.50.2,8443.0,-0.955367606608246,-1.4576520518028941,1.5816458322533136,True,3,0,,unknown,unknown,,,,,2023-03-27 03:11:48 ipdr False False False False False False True False False,False,True,False,False,False,False,False,False,False,True,False,True,False,1
10732833847,2023-02-21 00:16:00,cdr,True,10732833847.0,4513610093320.0,2023-02-21 00:16:00,-0.5340525359922244,CELL_121,"-18.1017,147.1074",SWAP_3423,CDR,-1.6235597243326827,-0.9962820925158786,-18.1017,147.1074,unknown,,,,,,False,0,1,,unknown,unknown,,,,,2023-02-21 00:16:00 cdr True False False False False False True False False,True,False,False,False,False,False,False,False,False,True,False,True,False,1
13251304696,2023-08-19 12:14:59,ipdr,False,unknown,unknown,,-0.5439686595826063,unknown,,,IPDR,0.0,0.0,,,example.com,207.250.123.78,443.0,-0.8296622447724373,0.44857230250299795,-1.333796584711943,False,12,5,,unknown,unknown,,,,,2023-08-19 12:14:59 ipdr False False False False False False True False False,False,True,False,False,False,False,False,False,False,True,False,True,False,1
16205504704,2023-11-28 15:41:02,edr,False,unknown,unknown,,-0.5439686595826063,unknown,"-0.1292,50.9916",,EDR,0.0,0.0,,,unknown,,,,,,False,15,1,cb8deb0c-6635-4821-9092-8e59ca662593,Galaxy S22,harmonyos,True,2023-11-28 15:41:02,0.502692893576661,-0.9897439465878392,2023-11-28 15:41:02 edr False False False False True False False False False,False,True,False,False,False,False,False,True,False,False,False,False,False,1
