event_id,user_id,device_model,os_type,roaming_status,network_type,event_time,location,event_type,is_fraud
I8WOAK72A2,4936995424,YZRDK,Windows,False,5G,2025-04-08 09:50:32.904314,"14.7056021772228,-162.71600257759542",SIM switch,False
XET6I38J6X,5771773848,WYYIL,Windows,False,LTE,2025-04-21 09:50:32.904355,"-79.68938798964017,129.43581398141532",battery drain,True
0K0DDMPD1E,9345515965,USQPE,Windows,False,LTE,2025-03-28 09:50:32.904382,"-66.48867153332233,65.0370833110498",battery drain,False
OZ5OK320VW,3497084104,YONXO,Windows,True,LTE,2025-04-16 09:50:32.904404,"16.869124338138107,154.93351519263138",battery drain,False
GYWKDCBPDI,4579648994,ABAGM,iOS,False,LTE,2025-04-11 09:50:32.904421,"57.519470275359595,72.01833369616915",reboot,True
XQXEBVL5LC,6509985268,TLQOS,Android,False,LTE,2025-03-28 09:50:32.904437,"66.63811395650796,62.676377878440576",reboot,False
DCT0K2FYVO,3693172013,UPJBP,Windows,True,WiFi,2025-04-15 09:50:32.904452,"80.72446958265476,60.171727110887275",SIM switch,False
128232Z55B,4460213581,PXDMP,iOS,False,LTE,2025-04-03 09:50:32.904472,"-58.8135646265484,18.619375282024208",SIM switch,False
E546GQI4T2,8935373724,VCWIJ,Android,False,WiFi,2025-04-03 09:50:32.904490,"22.128514277341353,-54.65131191921114",SIM switch,False
89LDJHLOYT,2886325218,BILQB,iOS,False,LTE,2025-03-28 09:50:32.904506,"-81.90892025806691,101.91282058867586",SIM switch,False
C4DYLCR93M,2192183909,MXQJC,Windows,True,LTE,2025-03-26 09:50:32.904525,"-29.067950465278997,157.10610167063726",battery drain,True
V4BFOGCB6T,4288817322,RLQKZ,Windows,True,5G,2025-03-28 09:50:32.904550,"-66.42773350049477,67.41658054075671",battery drain,True
0149WY2D9S,7180738516,EHMSM,iOS,True,WiFi,2025-03-28 09:50:32.904568,"15.575792634029625,51.81256387707194",battery drain,True
YNS5RE5ZUZ,1976905674,PBLZA,Android,True,LTE,2025-04-09 09:50:32.904583,"-77.50099721936117,95.91186177533098",battery drain,True
85JHT4I1JP,6615394156,EWCMV,Windows,False,5G,2025-04-20 09:50:32.904598,"44.923966038001026,-62.97101139228705",battery drain,True
3HFWCY74W7,0463264789,CLSGE,iOS,True,LTE,2025-04-03 09:50:32.904613,"0.1594628384011827,-131.77492422114355",battery drain,False
