event_id,user_id,device_model,os_type,roaming_status,network_type,event_time,location,event_type,is_fraud
94a5d3c0-017d-44ea-91d0-0213879fc892,8750832082169,Pixel 6,Android 12,False,WiFi,2023-07-30 13:08:24,"-39.0016,72.8457",SIM switch,True
80460565-317b-483a-8b9f-74bb54c38baf,6369328408307,Galaxy S22,HarmonyOS,True,LTE,2023-10-29 22:34:01,"-28.0669,-19.9730",roaming event,True
a55343c1-fcd1-4456-86f4-d86076c8ffaa,9413990788602,Pixel 6,Android 12,False,LTE,2023-01-22 18:51:17,"-41.9408,13.7628",SIM switch,True
9ab15204-b3ad-4341-98de-3cdb60a3b2c8,1111100028563,Pixel 6,iOS 16,True,5G,2023-04-16 14:18:50,"40.9043,-110.1915",roaming event,True
50451382-6dc6-4501-b47f-7cd1c9b594c5,3793336168845,Galaxy S22,Android 12,True,LTE,2023-09-08 05:05:18,"-43.2830,34.7570",SIM switch,True
469354cf-516a-4b50-9504-62f6666a5a75,1723614258445,iPhone 14,KaiOS,True,5G,2023-09-23 04:18:08,"-42.6026,143.9235",roaming event,True
2afe6e0b-4d5c-45c7-aeae-969f907fab7d,4650330341917,iPhone 14,Android 12,False,LTE,2023-01-29 10:17:32,"-86.8000,-62.3012",SIM switch,True
0513525a-b4cc-4556-97d4-2f2b5a05a6b3,5065260818723,iPhone 14,KaiOS,True,WiFi,2023-06-14 10:12:53,"32.0895,86.4260",roaming event,True
ecf00e53-c68a-47f2-b854-b20919df85df,4651769628988,iPhone 14,Android 12,False,WiFi,2023-07-23 22:30:13,"51.2025,-28.8781",SIM switch,True
1fe7f0ee-7cc9-427a-86f8-7958c9ece76e,7132818131753,OnePlus 10,HarmonyOS,True,5G,2023-08-23 09:27:39,"32.5356,158.7018",roaming event,True
9b805442-d1bf-4ea8-8f00-4036c1db9210,0579730353969,OnePlus 10,Android 12,True,LTE,2023-07-05 00:23:24,"-40.4531,-172.7976",SIM switch,True
8edea615-f4c8-45a7-a507-b8fa7f43fe7d,8941769425442,Pixel 6,KaiOS,True,5G,2023-09-17 17:13:00,"4.9092,-56.3430",roaming event,True
bdeed2ac-cf17-4912-88df-78bdc5cef598,5268184604788,iPhone 14,Android 12,False,5G,2023-07-01 02:15:49,"-71.0115,-124.0464",SIM switch,True
a45eacd7-5bbe-4861-8003-c81930a50750,7446498314263,Galaxy S22,HarmonyOS,True,WiFi,2023-03-18 08:09:37,"-59.2926,-163.2543",roaming event,True
030b96ae-dd1e-4f4a-8d36-db5623d4ba21,4126603459744,iPhone 14,Android 12,True,LTE,2023-10-30 12:28:13,"75.0005,115.5870",SIM switch,True
73487f2a-7862-4eef-8a14-f462bef24ae0,4967192335563,Xiaomi 12,Android 12,True,LTE,2023-11-06 18:01:43,"-25.9421,-93.7512",roaming event,True
4d1615d2-6668-45bb-a141-d98eed17e5ff,0876925838915,Pixel 6,Android 12,False,WiFi,2023-10-06 05:11:01,"-77.6457,162.2363",SIM switch,True
e2fb0d63-0eda-4344-975a-8492f197ddb2,6553031231497,Galaxy S22,HarmonyOS,True,WiFi,2023-09-02 05:04:54,"-57.2385,-20.4501",roaming event,True
dc1c4943-92e3-4527-8a46-030c3c4fd030,8930635890661,iPhone 14,Android 12,False,LTE,2023-06-28 22:29:24,"-83.3742,-43.1423",SIM switch,True
38582b45-b173-4de1-acd9-94ad98a04eec,5689618644717,iPhone 14,iOS 16,True,WiFi,2023-07-29 00:41:02,"83.9872,-45.6183",roaming event,True
2feeec0e-b26f-483f-8d84-0e5e898198fe,0694509697173,iPhone 14,Android 12,True,LTE,2023-08-18 15:46:00,"19.0515,74.2607",SIM switch,True
673adc02-45a0-40f3-82e5-c47ec39d49f6,1872619625782,iPhone 14,Android 12,True,LTE,2023-07-21 23:34:27,"-50.9817,46.2562",roaming event,True
0f459b35-464f-4bec-bd12-b09a4cc8d42f,9981904368015,Galaxy S22,Android 12,False,WiFi,2023-01-20 19:09:45,"-69.9197,46.3088",SIM switch,True
1538ab1e-0783-4c22-8209-74c3ad0f66b8,7935834425680,Pixel 6,iOS 16,True,LTE,2023-06-16 21:47:19,"-39.4679,-28.9792",roaming event,True
6c8825a2-b0fc-4953-8290-14e1e6b7a24c,9945020273077,Xiaomi 12,iOS 16,True,5G,2023-02-09 21:45:40,"59.4593,74.7009",SIM switch,True
b79a81d3-97b1-495a-8b15-a1f46e3c3285,8560043624023,OnePlus 10,Android 12,True,5G,2023-10-28 17:16:44,"-52.0632,-102.8041",roaming event,True
